region,comuna,titulo,fecha,bajada,link,medio,label,score
Arica y Parinacota,Arica,Chile: los impactos no evaluados de la minería en el Monumento Natural Salar de Surire,2021-02-17,Habitantes cercanos al salar de Surire aseguran que las poblaciones de flamencos se han reducido debido a las actividades mineras que,https://es.mongabay.com/2021/02/chile-los-impactos-no-evaluados-de-la-mineria-en-el-monumento-natural-salar-de-surire/,Mongabay - Conservation News,otros,0.6327070593833923
Arica y Parinacota,Arica,"Entrevista a Marcela Godoy, presidenta del Segundo Tribunal Ambiental",2024-01-04,"Medio Ambiente / Oriunda de Antofagasta, la abogada Marcela Godoy juró hace poco más de cuatro meses como ministra titular del Segundo",https://www.paiscircular.cl/medio-ambiente/marcela-godoy-presidenta-del-segundo-tribunal-ambiental-estoy-convencida-de-que-la-justicia-ambiental-solo-cuando-es-pronta-y-oportuna-es-realmente-justicia/,País Circular,otros,0.5398651957511902
Arica y Parinacota,Arica,Minera de LarrainVial suma multas ambientales morosas por más de $2.500 millones,2019-07-24,"El proyecto Pampa Camarones SpA, propiedad de Minería Activa -una empresa de LarrainVial- está a la cabeza del ránking de multas impagas en",https://interferencia.cl/articulos/minera-de-larrainvial-suma-multas-ambientales-morosas-por-mas-de-2500-millones,Interferencia |,conflicto ambiental,0.8286042809486389
Arica y Parinacota,Arica,Polémica en Arica por toma ilegal en humedal del Río Lluta,2022-03-10,"La comunidad ecológica ""Bella Vista Hermosa"" instaló viviendas en el lugar de 52 hectáreas. El Comité Ambiental de Arica advirtió que la",https://cooperativa.cl/noticias/pais/region-de-arica/polemica-en-arica-por-toma-ilegal-en-humedal-del-rio-lluta/2022-03-10/134509.html,Cooperativa.cl,conflicto ambiental,0.9242794513702391
Arica y Parinacota,Arica,Nuevo traspié para Quiborax: CDE rechaza mediación por conflicto en Salar de Surire,2024-09-20,Empresa espera que ahora Tribunal Ambiental lidere propuesta.hace 2 meses,https://www.soychile.cl/arica/sociedad/2024/09/10/876207/mediacion-quiborax-arica.html,soychile.cl,otros,0.5822745561599731
Arica y Parinacota,Arica,El sueño de la casa propia ¿Cómo enfrentamos el problema de la vivienda en Arica?,2021-11-18,"El problema de la vivienda en Arica y Parinacota, ha sido un problema histórico en la región. Actualmente el déficit habitacional es de",https://www.laizquierdadiario.cl/El-sueno-de-la-casa-propia-Como-enfrentamos-el-problema-de-la-vivienda-en-Arica,La Izquierda Diario Chile,otros,0.8302303552627563
Arica y Parinacota,Arica,La realidad del agua salobre en Arica: Nuestra vida junto a químicos que nos hacen mal,2020-08-03,Científicos de Arica investigan problemas ambientales del pasado y presente,https://www.elmorrocotudo.cl/noticia/sociedad/la-realidad-del-agua-envenenada-en-arica-nuestra-vida-junto-quimicos-que-nos-hacen-,El MorroCotudo,conflicto ambiental,0.5606065392494202
Arica y Parinacota,Arica,Quiborax: la sorpresa del litio en los depósitos de desechos de minera en Arica,2023-08-22,"Compartir. La singularidad del proyecto de Quiborax radica en que el litio se encuentra ya extraído en material de desecho, lo que reduce el",https://www.reporteminero.cl/noticia/noticias/2023/08/quiborax-litio-depositos-desechos-minera-arica,Reporte Minero,conflicto ambiental,0.5395000576972961
Arica y Parinacota,Arica,Organizaciones de Arica y Parinacota alzan la voz por grave contaminación de desechos tóxicos a causa de la minería,2013-08-13,"23 Julio, 2013. Señalan: “Condenamos y denunciamos, la larga historia de este conflicto, con desarticulación e intervención política de los",https://www.cric-colombia.org/portal/organizaciones-de-arica-y-parinacota-alzan-la-voz-por-grave-contaminacion-de-desechos-toxicos-a-causa-de-la-mineria/,Consejo Regional Indígena del Cauca - CRIC,conflicto ambiental,0.6193835735321045
Arica y Parinacota,Arica,Pueblos de Arica y Parinacota contra Transnacional Minera,2018-10-17,"Convocadas por la organización ""Belén dice No a la Minería"" más de un centenar de personas se movilizaron por las calles de la ciudad este",https://www.laizquierdadiario.cl/Pueblos-de-Arica-y-Parinacota-contra-Transnacional-Minera,La Izquierda Diario Chile,otros,0.600809633731842
Arica y Parinacota,Arica,Arica: Primer Tribunal Ambiental alista pronunciamiento por causa del CDE contra minera Quiborax,2024-07-21,El empresa reclama que nunca han tenido una sanción en 37 años por Salar de Surire.hace 4 meses,https://www.soychile.cl/arica/sociedad/2024/07/18/869030/salar-quiborax-cde.html,soychile.cl,conflicto ambiental,0.6970657706260681
Arica y Parinacota,Arica,Desastre ambiental en Socoroma: Derrame de petróleo amenaza salud y agricultura de la comunidad,2024-04-19,"El hecho ocurrió en el kilómetro 113 de la Ruta 11CH, cuando un camión volcó con 20 mil litros de hidrocarburo en su interior, de los cuales",https://www.elciudadano.com/actualidad/desastre-ambiental-en-socoroma-derrame-de-petroleo-amenaza-salud-y-agricultura-de-la-comunidad/04/19/,elciudadano.com,conflicto ambiental,0.9681136012077332
Arica y Parinacota,Arica,Arica va a paro este lunes en contra de termoeléctrica y proyecto minero,2013-09-30,"En rechazo a la central termoeléctrica Cerro Chuño, al proyecto minero los Pumas y a las semillas transgénicas organizaciones sociales,",https://www.elciudadano.com/organizacion-social/arica-va-a-paro-este-lunes-en-contra-de-termoelectrica-y-proyecto-minero/09/30/,elciudadano.com,otros,0.5086880326271057
Arica y Parinacota,Arica,Crisis migratoria en Chile y Perú: qué está pasando en la frontera entre Arica y Tacna,2023-05-05,"Cientos de personas, en su mayoría venezolanos, han intentado cruzar la zona limítrofe para retornar a su nación de origen. El conflicto",https://elpais.com/chile/2023-05-05/crisis-migratoria-en-chile-y-peru-que-esta-pasando-en-la-frontera-entre-arica-y-tacna.html,EL PAÍS,otros,0.6337824463844299
Arica y Parinacota,Arica,Pueblos de Chile y Perú afectados por conflictos socioambientales fortalecen frente común contra la minería,2013-09-26,"Mientras los gobiernos de Perú y Chile concentran esfuerzos en sus divergencias ante el juicio en La Haya, los pueblos bifronterizos se unen",https://www.elmorrocotudo.cl/noticia/sociedad/pueblos-de-chile-y-peru-afectados-por-conflictos-socioambientales-fortalecen-frente,elmorrocotudo.cl,conflicto ambiental,0.7187715172767639
Arica y Parinacota,Arica,Artistas se suman a marcha #EsteEstadoNosMata en Arica,2015-04-14,El miercoles 15 de abril se realizará en Arica la marcha #Esteestadonosmata para colocar en evidencia los conflictos socio ambientales de la,https://puranoticia.pnt.cl/noticias/regiones/artistas-se-suman-a-marcha-esteestadonosmata-en-arica/2015-04-14/104711.html,Home Puranoticia,otros,0.5917465090751648
Arica y Parinacota,Arica,La historia de las comunidades indígenas Aymaras que le ganaron a la minería en su cerro sagrado,2022-01-18,"A 20 metros de la Reserva Nacional Las Vicuñas, una minera canadiense explora, desde 2017, el cerro Anocarire en busca de oro.hace 34 meses",https://es.mongabay.com/2022/01/comunidades-indigenas-aymaras-que-le-ganaron-a-la-mineria-en-chile/,Mongabay - Conservation News,otros,0.5556374788284302
Arica y Parinacota,Arica,"Opinión: Picaflor de Arica, especie muy utilizada por las autoridades, a la espera de protección",2016-08-12,"Las autoridades han utilizado la imagen del Picaflor de Arica, ofreciendo recursos y protección para un ave endémica de la Región.hace 99 meses",https://www.elmorrocotudo.cl/noticia/listado/opinion-picaflor-de-arica-especie-muy-utilizada-por-las-autoridades-la-espera-de-pro,www.elmorrocotudo.cl,otros,0.7392117977142334
Arica y Parinacota,Arica,Encuesta Nacional de Medio Ambiente 2018: Los Ríos es la región que más separa sus residuos con un 58%,2018-02-20,"El 57% de los chilenos separa los residuos de su basura para reciclar. Así, el 76% de ellos reveló que el principal producto que aparta son",https://www.duna.cl/noticias/2018/02/20/encuesta-nacional-de-medio-ambiente-2018-los-rios-es-la-region-que-mas-separa-sus-residuos-con-un-58/,Radio Duna,otros,0.5401732325553894
Arica y Parinacota,Arica,Justicia acoge denuncia por contaminación del agua con metales pesados,2013-07-04,El Segundo Tribunal Ambiental declaró admisible una denuncia presentada por organizaciones de la región de Arica y Parinacota por,https://www.elamaule.cl/noticia/sociedad/justicia-acoge-denuncia-por-contaminacion-del-agua-con-metales-pesados,www.elamaule.cl,conflicto ambiental,0.7246295809745789
Arica y Parinacota,Arica,Ariqueños demandan al Estado por la complicidad en la contaminación del agua con arsénico y plomo,2013-08-13,VÍA RADIO U DE CHILE. Organizaciones socio ambientales de la Región de Arica y Parinacota interpusieron una demanda contra el Estado por la,https://www.gamba.cl/2013/08/ariquenos-demandan-al-estado-por-la-complicidad-en-la-contaminacion-del-agua-con-arsenico-y-plomo/,Gamba,conflicto ambiental,0.717866063117981
Arica y Parinacota,Camarones,"La estela del gobierno de Piñera, conflictos de interés y financiamiento al proyecto minero Pampa Camarones",2022-11-19,"El miércoles 16 de noviembre, la revista CIPER publicó una investigación sobre la participación de la familia Piñera en el proyecto minero",https://www.laizquierdadiario.cl/La-estela-del-gobierno-de-Pinera-conflictos-de-interes-y-financiamiento-al-proyecto-minero-Pampa,La Izquierda Diario Chile,otros,0.5612009167671204
Arica y Parinacota,Camarones,Tribunal concluyó que Pampa Camarones causó daño ambiental irreparable y la condenó a repararlo,2024-11-28,Acogió demanda de reparación por daño ambiental presentada por el Estado en contra del titular del proyecto minero ubicado en la Región de,https://tribunalambiental.cl/sentencia-d-25-2016-pampa-camarones/,Tribunal Ambiental |,conflicto ambiental,0.7672808766365051
Arica y Parinacota,Camarones,SMA sanciona a minera Pampa Camarones por daño ambiental irreparable,2015-02-04,"La Superintendencia del Medio Ambiente (SMA) aplicó una multa de 4.313,3 UTA en contra del proyecto minero ubicado en la Región de Arica y",https://portal.sma.gob.cl/index.php/sma-sanciona-a-minera-pampa-camarones-por-dano-ambiental-irreparable/,Superintendencia Del Medio Ambiente – Gobierno de Chile,conflicto ambiental,0.9198654890060424
Arica y Parinacota,Camarones,Minera de LarrainVial suma multas ambientales morosas por más de $2.500 millones,2019-07-24,"El proyecto Pampa Camarones SpA, propiedad de Minería Activa -una empresa de LarrainVial- está a la cabeza del ránking de multas impagas en",https://interferencia.cl/articulos/minera-de-larrainvial-suma-multas-ambientales-morosas-por-mas-de-2500-millones,Interferencia |,conflicto ambiental,0.8286042809486389
Arica y Parinacota,Camarones,Derrumbe en mina Pampa Camarones deja a trabajador atrapado a 160 metros de profundidad,2024-07-09,"Durante esta jornada, el seremi de Minería de Arica y Parinacota, Daniel Curiqueo, confirmó que se trabaja intensamente en el",https://www.biobiochile.cl/noticias/nacional/region-de-arica-y-parinacota/2024/07/09/derrumbe-en-mina-de-arica-deja-a-trabajador-atrapado-a-160-metros-de-profundidad-gope-intenta-rescate.shtml,BioBioChile,otros,0.5203940868377686
Arica y Parinacota,Camarones,Escasez hídrica y minería: Comunidades indígenas manifestaron preocupación por causes de las cuencas de Codpa y Camarones,2023-01-17,"En el trascurso de los últimos 10 años, las comunidades del alto de Camarones se han visto afectadas por el impulso de la minería.hace 22 meses",https://www.elmorrocotudo.cl/noticia/medioambiente/comunidades-indigenas-manifestaron-preocupacion-por-causes-de-las-cuencas-de-c,elmorrocotudo.cl,conflicto ambiental,0.5552269220352173
Arica y Parinacota,Camarones,SMA ordena Medidas Urgentes y Transitorias a la empresa Engie Energía Chile por proyecto en Arica,2024-07-11,"Esto, por efectos no previstos en la evaluación ambiental del proyecto subestación seccionadora Roncacho. Lo anterior, tras la aparición de",https://portal.sma.gob.cl/index.php/sma-ordena-medidas-urgentes-y-transitorias-a-la-empresa-engie-energia-chile-por-proyecto-en-arica/,Superintendencia Del Medio Ambiente – Gobierno de Chile,otros,0.5516229271888733
Arica y Parinacota,Camarones,#EnCorto: Comunidades aymaras de Chile frenan a la minería en el cerro Anocarire,2023-03-21,"Desde 2017, una minera canadiense explora territorios cercanos a la Reserva Nacional Las Vicuñas, en donde se encuentran áreas sagradas para",https://es.mongabay.com/2023/02/en-corto-comunidades-aymaras-frenan-a-la-mineria-en-anocarire/,Mongabay - Conservation News,otros,0.5803617835044861
Arica y Parinacota,Camarones,Pueblos de Chile y Perú afectados por conflictos socioambientales fortalecen frente común contra la minería,2013-09-26,"Mientras los gobiernos de Perú y Chile concentran esfuerzos en sus divergencias ante el juicio en La Haya, los pueblos bifronterizos se unen",https://www.elmorrocotudo.cl/noticia/sociedad/pueblos-de-chile-y-peru-afectados-por-conflictos-socioambientales-fortalecen-frente,elmorrocotudo.cl,conflicto ambiental,0.7187715172767639
Arica y Parinacota,General Lagos,45 profesores y educadoras compartieron experiencias en Campamento Explora Va! 2023,2023-01-13,"En pleno período de vacaciones, un motivado grupo de profesores y educadoras de la región fueron parte del Campamento Explora Va del PAR",https://www.explora.cl/aricayparinacota/45-profesores-y-educadoras-compartieron-experiencias-en-campamento-explora-va-2023/,Explora.cl,otros,0.6443984508514404
Arica y Parinacota,General Lagos,Descubren población estable de rara especie de sapos en Parinacota,2020-11-01,El conocido como sapo de cuatro ojos fue detectado en la comuna de General Lagos por un equipo de especialistas de Conaf.hace 48 meses,https://cooperativa.cl/noticias/pais/region-de-arica/descubren-poblacion-estable-de-rara-especie-de-sapos-en-parinacota/2020-11-01/104603.html,Cooperativa.cl,otros,0.7997516989707947
Arica y Parinacota,General Lagos,Profesional de la UACh realiza importante hallazgo de sapito de cuatro ojos en el altiplano,2019-09-11,"El Ingeniero en Conservación de Recursos Naturales Sebastián Vidal, que se desempeña en CONAF, realizó sorprendente hallazgo de especie",https://diario.uach.cl/profesional-de-la-uach-realiza-importante-hallazgo-de-sapito-de-cuatro-ojos-en-el-altiplano/,Universidad Austral de Chile,otros,0.675250768661499
Arica y Parinacota,General Lagos,#EnCorto: Comunidades aymaras de Chile frenan a la minería en el cerro Anocarire,2023-03-21,"Desde 2017, una minera canadiense explora territorios cercanos a la Reserva Nacional Las Vicuñas, en donde se encuentran áreas sagradas para",https://es.mongabay.com/2023/02/en-corto-comunidades-aymaras-frenan-a-la-mineria-en-anocarire/,Mongabay - Conservation News,otros,0.5803617835044861
Arica y Parinacota,General Lagos,Escasez hídrica y minería: Comunidades indígenas manifestaron preocupación por causes de las cuencas de Codpa y Camarones,2023-01-17,"En el trascurso de los últimos 10 años, las comunidades del alto de Camarones se han visto afectadas por el impulso de la minería.hace 22 meses",https://www.elmorrocotudo.cl/noticia/medioambiente/comunidades-indigenas-manifestaron-preocupacion-por-causes-de-las-cuencas-de-c,elmorrocotudo.cl,conflicto ambiental,0.5552269220352173
Arica y Parinacota,General Lagos,En 60 días proyectan licitar la electrificación para la comuna de General Lagos,2012-10-12,Autoridades regionales hicieron el anuncio en medio de una ceremonia donde se inauguraron obras y se entregaron implementos para la comuna.hace 145 meses,https://www.soychile.cl/Arica/Sociedad/2012/09/25/121892/En-60-dias-se-proyectan-licitar-la-electrificacion-para-la-comuna-de-General-Lagos.aspx,soychile.cl,otros,0.6196479201316833
Arica y Parinacota,General Lagos,La historia de las comunidades indígenas Aymaras que le ganaron a la minería en su cerro sagrado,2022-01-18,"A 20 metros de la Reserva Nacional Las Vicuñas, una minera canadiense explora, desde 2017, el cerro Anocarire en busca de oro.hace 34 meses",https://es.mongabay.com/2022/01/comunidades-indigenas-aymaras-que-le-ganaron-a-la-mineria-en-chile/,Mongabay - Conservation News,otros,0.5556374788284302
Arica y Parinacota,General Lagos,Las posibles razones de la mortandad de camélidos en General Lagos,2014-11-08,"Los ganaderos de la comuna de General Lagos no lo están pasando bien y es que estas últimas semanas, la gran mortandad de camélidos tiene en",https://www.elmorrocotudo.cl/noticia/sociedad/las-posibles-razones-de-la-mortandad-de-camelidos-en-general-lagos,elmorrocotudo.cl,otros,0.5656315684318542
Arica y Parinacota,Putre,Sesión especial de seguridad pública en Arica: alcalde Espíndola exigió un plan especial y mayor enfoque en problemas migratorios,2024-09-02,"En una reunión presidida por el senador Iván Flores, se abordaron las preocupaciones de seguridad pública en la región. El alcalde de Arica,",https://www.aricaldia.cl/sesion-especial-de-seguridad-publica-en-arica-alcalde-espindola-exigio-un-plan-especial-y-mayor-enfoque-en-problemas-migratorios/,Arica al día,otros,0.5795031785964966
Arica y Parinacota,Putre,Consejo de Defensa del Estado presenta demanda contra minera Quiborax por daño ambiental al Salar de Surire,2024-07-03,"La medida del CDE busca que la empresa repare el ""grave daño ambiental provocado al salar"".hace 4 meses",https://www.latercera.com/pulso/noticia/consejo-de-defensa-del-estado-presenta-demanda-contra-minera-quiborax-por-dano-ambiental-al-salar-de-surire/V35ALWQSABF35CFAIWMMX75WTI/,La Tercera,conflicto ambiental,0.7462717294692993
Arica y Parinacota,Putre,INDH Arica y Parinacota presenta recurso de protección por contaminación de planta de procesamiento de minerales abandonada en Putre,2021-05-19,La acción judicial del INDH busca proteger los derechos a la integridad física y psíquica de un grupo de 41 personas que habitan en el,https://www.indh.cl/indh-arica-y-parinacota-presenta-recurso-de-proteccion-por-contaminacion-de-planta-de-procesamiento-de-minerales-abandonada-en-putre/,Instituto Nacional de Derechos Humanos (INDH),otros,0.6327594518661499
Arica y Parinacota,Putre,¡Altiplano en peligro! El territorio que muchos codician y que pocos están cuidando,2023-02-09,"No exageramos al decir que parece de otro planeta: no solo por sus paisajes y sus condiciones extremas de altitud, radiación, temperaturas y",https://laderasur.com/articulo/altiplano-en-peligro-el-territorio-que-muchos-codician-y-que-pocos-estan-cuidando/,Ladera Sur,conflicto ambiental,0.6909252405166626
Arica y Parinacota,Putre,Choquelimpie: la minera en Chile que busca reactivarse en plena Reserva Nacional Las Vicuñas,2022-01-18,Ya fueron tomadas 10 mil muestras de perforaciones en la propiedad de la canadiense Norsemont Mining para identificar las zonas,https://es.mongabay.com/2022/01/choquelimpie-la-minera-en-chile-que-busca-reactivarse/,Mongabay - Conservation News,conflicto ambiental,0.6121082305908203
Arica y Parinacota,Putre,Desastre ambiental en Socoroma: Derrame de petróleo amenaza salud y agricultura de la comunidad,2024-04-19,"El hecho ocurrió en el kilómetro 113 de la Ruta 11CH, cuando un camión volcó con 20 mil litros de hidrocarburo en su interior, de los cuales",https://www.elciudadano.com/actualidad/desastre-ambiental-en-socoroma-derrame-de-petroleo-amenaza-salud-y-agricultura-de-la-comunidad/04/19/,elciudadano.com,conflicto ambiental,0.9681136012077332
Arica y Parinacota,Putre,ARICA: TRABAJADORES DE QUIBORAX PREOCUPADOS POR POSIBLE CIERRE DE LA EMPRESA MIENTRAS DURA JUICIO INTERPUESTO POR EVENTUAL DAÑO AL SALAR DE SURIRE,2024-08-22,"De acuerdo con la información consignada por Soy Arica, decenas de trabajadores de la empresa Quiborax marcharon por el centro de la ciudad",https://vilasradio.cl/arica-trabajadores-de-quiborax-preocupados-por-posible-cierre-de-la-empresa-mientras-dura-juicio-interpuesto-por-eventual-dano-al-salar-de-surire/,Vilas Radio,conflicto ambiental,0.5430528521537781
Arica y Parinacota,Putre,Crisis en Socoroma tras derrame de combustible a río,2024-04-10,"La Comisión de Seguridad, Prevención y Desastres del Consejo Regional sesionó en Socoroma para buscar la manera de enfrentar la emergencia",https://www.aricaldia.cl/crisis-en-socoroma-tras-derrame-de-combustible-a-rio/,Arica al día,conflicto ambiental,0.6817797422409058
Arica y Parinacota,Putre,Ariqueños demandan al Estado por la complicidad en la contaminación del agua con arsénico y plomo,2013-08-13,VÍA RADIO U DE CHILE. Organizaciones socio ambientales de la Región de Arica y Parinacota interpusieron una demanda contra el Estado por la,https://www.gamba.cl/2013/08/ariquenos-demandan-al-estado-por-la-complicidad-en-la-contaminacion-del-agua-con-arsenico-y-plomo/,Gamba,conflicto ambiental,0.717866063117981
